               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.025815,            0.019739,                   0,             0.78142,             0.70604,             0.77992,             0.44558,            0.034802,             0.01805,                   0,              0.0034,              0.0034,              0.0034
                  52,             0.02475,            0.019331,                   0,             0.73036,             0.74541,             0.79074,             0.46705,            0.034199,            0.017706,                   0,            0.003268,            0.003268,            0.003268
                  53,            0.025509,            0.018629,                   0,             0.71995,             0.75853,             0.78903,             0.46882,            0.034136,            0.017934,                   0,            0.003136,            0.003136,            0.003136
                  54,            0.024238,            0.019453,                   0,             0.73569,             0.76115,             0.79471,             0.47626,            0.033999,            0.017334,                   0,            0.003004,            0.003004,            0.003004
                  55,            0.025121,            0.019823,                   0,             0.84725,             0.66966,              0.7963,             0.47289,            0.034718,            0.018172,                   0,            0.002872,            0.002872,            0.002872
                  56,            0.026431,            0.017987,                   0,             0.84287,             0.65617,             0.78738,             0.45818,            0.034628,            0.018658,                   0,             0.00274,             0.00274,             0.00274
                  57,            0.023942,            0.018683,                   0,             0.76916,             0.74335,             0.79919,             0.45433,            0.034411,            0.017686,                   0,            0.002608,            0.002608,            0.002608
                  58,            0.025264,            0.018446,                   0,             0.78252,             0.72178,             0.79901,              0.4685,            0.033135,            0.017432,                   0,            0.002476,            0.002476,            0.002476
                  59,            0.023381,            0.018256,                   0,             0.73996,             0.73193,             0.79093,             0.47197,            0.033133,            0.017469,                   0,            0.002344,            0.002344,            0.002344
                  60,            0.024763,            0.018433,                   0,             0.77979,             0.72441,             0.79663,             0.47374,             0.03341,            0.017635,                   0,            0.002212,            0.002212,            0.002212
                  61,            0.022933,            0.016639,                   0,             0.77234,             0.70079,             0.77043,             0.45906,            0.034335,             0.01798,                   0,             0.00208,             0.00208,             0.00208
                  62,            0.023166,            0.019151,                   0,             0.78119,              0.7028,             0.78277,             0.46143,            0.033794,             0.01805,                   0,            0.001948,            0.001948,            0.001948
                  63,            0.023056,            0.017884,                   0,             0.79885,             0.71129,             0.79535,             0.46831,            0.034131,            0.017952,                   0,            0.001816,            0.001816,            0.001816
                  64,            0.023545,            0.018013,                   0,             0.80777,             0.70587,             0.79243,             0.47157,            0.033676,            0.017645,                   0,            0.001684,            0.001684,            0.001684
                  65,            0.023186,            0.018321,                   0,             0.83954,             0.68661,             0.80091,             0.47987,            0.033833,             0.01772,                   0,            0.001552,            0.001552,            0.001552
                  66,            0.022895,            0.018048,                   0,             0.78301,             0.72928,              0.8048,             0.47933,            0.033787,            0.017536,                   0,             0.00142,             0.00142,             0.00142
                  67,            0.023989,            0.019135,                   0,             0.78453,             0.70079,             0.79455,             0.47826,            0.033818,            0.017573,                   0,            0.001288,            0.001288,            0.001288
                  68,            0.023445,            0.018188,                   0,             0.82585,              0.6721,             0.79518,              0.4762,            0.033635,            0.017554,                   0,            0.001156,            0.001156,            0.001156
                  69,            0.022799,            0.018309,                   0,             0.81644,             0.68504,             0.79896,             0.47641,            0.033545,            0.017525,                   0,            0.001024,            0.001024,            0.001024
                  70,            0.022898,            0.016621,                   0,             0.75924,             0.73663,             0.79106,             0.46903,             0.03404,            0.017474,                   0,            0.000892,            0.000892,            0.000892
                  71,            0.022037,            0.016916,                   0,             0.82077,             0.68766,             0.79284,             0.46806,            0.034252,            0.017556,                   0,             0.00076,             0.00076,             0.00076
                  72,            0.021488,            0.015741,                   0,             0.80686,             0.70341,             0.79785,             0.47336,            0.034048,            0.017564,                   0,            0.000628,            0.000628,            0.000628
                  73,            0.021902,            0.017425,                   0,             0.81326,             0.70866,             0.80357,             0.47631,            0.033866,            0.017609,                   0,            0.000496,            0.000496,            0.000496
                  74,            0.022434,            0.016592,                   0,             0.79525,             0.71361,             0.80582,             0.47787,            0.033818,            0.017623,                   0,            0.000364,            0.000364,            0.000364
